Trachurus trachurus	Perciformes	Carangidae	-->	Carangiformes	Carangidae
Istiophorus platypterus	Perciformes	Istiophoridae	-->	Istiophoriformes	Istiophoridae
Polydactylus sextarius	Carangaria	Polynemidae	-->	Incertae sedis in Carangaria	Polynemidae
Toxotes chatareus	Carangaria	Toxotidae	-->	Incertae sedis in Carangaria	Toxotidae
Toxotes jaculatrix	Carangaria	Toxotidae	-->	Incertae sedis in Carangaria	Toxotidae
Xiphias gladius	Perciformes	Xiphiidae	-->	Istiophoriformes	Xiphiidae
Parambassis ranga	Ovalentaria	Ambassidae	-->	Incertae sedis in Ovalentaria	Ambassidae
Gouania willdenowi	Blenniiformes	Gobiesocidae	-->	Gobiesociformes	Gobiesocidae
Amphiprion percula	Ovalentaria	Pomacentridae	-->	Incertae sedis in Ovalentaria	Pomacentridae
Taurulus bubalis	Scorpaeniformes	Cottidae	-->	Perciformes	Cottidae
Cyclopterus lumpus	Scorpaeniformes	Cyclopteridae	-->	Perciformes	Cyclopteridae
Dicentrarchus_labrax	Eupercaria	Moronidae	-->	Incertae sedis in Eupercaria	Moronidae
Collichthys lucidus	Eupercaria	Sciaenidae	-->	Incertae sedis in Eupercaria	Sciaenidae
Larimichthys crocea	Eupercaria	Sciaenidae	-->	Incertae sedis in Eupercaria	Sciaenidae
Nibea albiflora	Eupercaria	Sciaenidae	-->	Incertae sedis in Eupercaria	Sciaenidae
Sparus aurata	Perciformes	Sparidae	-->	Spariformes	Sparidae
